"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","TECNICA","PERIODO_DE_ANALISIS","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,4,6,48,2,2024,2,26,0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.4,"V",0.4,"V",0.4,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.3,"V",0.4,"V",0.4,"V",0.4,"V",0.4,"V",0.4,"V",0.4,"V",0,"N"
28,79,4,7,8,2,2024,2,26,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",7,"V",9,"V",13,"V",13,"V",9,"V",6,"V",5,"V",5,"V",6,"V",4,"V",3,"V",2,"V",3,"V",2,"V",1,"V",0,"N"
28,79,4,8,8,2,2024,2,26,4,"V",4,"V",3,"V",2,"V",2,"V",5,"V",8,"V",25,"V",33,"V",25,"V",24,"V",22,"V",18,"V",13,"V",13,"V",21,"V",22,"V",20,"V",25,"V",33,"V",31,"V",22,"V",15,"V",0,"N"
28,79,4,12,8,2,2024,2,26,6,"V",6,"V",4,"V",3,"V",4,"V",7,"V",10,"V",28,"V",44,"V",39,"V",44,"V",42,"V",33,"V",23,"V",20,"V",28,"V",30,"V",26,"V",30,"V",36,"V",36,"V",25,"V",17,"V",0,"N"
28,79,8,1,38,2,2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"N",0,"N",0,"N",0,"N",0,"N",1,"N",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",0,"N"
28,79,8,6,48,2,2024,2,26,0.2,"V",0.2,"V",0.2,"V",0.2,"V",0.2,"V",0.3,"V",0.3,"V",0.3,"V",0.4,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0.3,"N",0.3,"V",0.3,"V",0.4,"V",0.4,"V",0.4,"V",0.4,"V",0.3,"V",0.3,"V",0,"N"
28,79,8,7,8,2,2024,2,26,2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",3,"V",12,"V",15,"N",0,"N",0,"N",0,"N",0,"N",0,"N",6,"N",3,"V",4,"V",6,"V",5,"V",3,"V",2,"V",2,"V",1,"V",0,"N"
28,79,8,8,8,2,2024,2,26,4,"V",5,"V",4,"V",2,"V",3,"V",9,"V",15,"V",37,"V",42,"N",0,"N",0,"N",0,"N",0,"N",0,"N",19,"N",17,"V",19,"V",26,"V",32,"V",32,"V",24,"V",16,"V",9,"V",0,"N"
28,79,8,9,47,2,2024,2,26,5,"V",3,"V",10,"V",2,"V",6,"V",2,"V",1,"V",1,"V",6,"V",2,"V",7,"V",4,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,8,10,47,2,2024,2,26,7,"V",6,"V",11,"V",3,"V",9,"V",2,"V",3,"V",6,"V",13,"V",7,"V",15,"V",10,"V",6,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
