"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","PUNTO_MUESTREO","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,102,81,"28079102_81_98",2024,2,26,4.05,"V",3,"V",3.12,"V",2.25,"V",3.3,"V",3.1,"V",3.33,"V",2.97,"V",2.97,"V",3.17,"V",4.52,"V",5.12,"V",5.15,"V",4.95,"V",4.57,"V",5,"V",4.52,"V",3.7,"V",2.97,"V",2,"V",1.93,"V",2.78,"V",3.1,"V",0,"N"
28,79,102,82,"28079102_82_98",2024,2,26,242,"V",255,"V",243,"V",261,"V",280,"V",290,"V",261,"V",272,"V",268,"V",279,"V",270,"V",303,"V",268,"V",271,"V",270,"V",278,"V",284,"V",256,"V",265,"V",293,"V",285,"V",317,"V",290,"V",0,"N"
28,79,102,83,"28079102_83_98",2024,2,26,7.3,"V",7.3,"V",7.3,"V",7,"V",6.5,"V",6.2,"V",6.1,"V",5.5,"V",5.5,"V",6,"V",5.5,"V",6.5,"V",7.2,"V",7.5,"V",8,"V",6.1,"V",5.3,"V",5.3,"V",5.2,"V",5.7,"V",5.7,"V",5.2,"V",4.6,"V",0,"N"
28,79,102,86,"28079102_86_98",2024,2,26,92,"V",91,"V",72,"V",59,"V",58,"V",60,"V",63,"V",70,"V",66,"V",60,"V",59,"V",51,"V",45,"V",41,"V",39,"V",50,"V",56,"V",60,"V",62,"V",58,"V",54,"V",53,"V",53,"V",0,"N"
28,79,102,87,"28079102_87_98",2024,2,26,932,"V",932,"V",932,"V",932,"V",931,"V",931,"V",931,"V",931,"V",932,"V",932,"V",932,"V",932,"V",932,"V",932,"V",932,"V",932,"V",932,"V",932,"V",933,"V",934,"V",934,"V",935,"V",935,"V",0,"N"
28,79,102,88,"28079102_88_98",2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",49,"V",227,"V",265,"V",574,"V",738,"V",731,"V",614,"V",172,"V",122,"V",81,"V",24,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,102,89,"28079102_89_98",2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0.1,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,103,81,"28079103_81_98",2024,2,26,4.97,"V",3.7,"V",3.28,"V",2.87,"V",2.25,"V",0.9,"V",0.88,"V",2.2,"V",2.6,"V",2,"V",2.5,"V",3.68,"V",3.53,"V",3.15,"V",3.1,"V",2.85,"V",3,"V",3.25,"V",3.15,"V",1.92,"V",2.05,"V",3.05,"V",2.3,"V",0,"N"
28,79,103,82,"28079103_82_98",2024,2,26,255,"V",270,"V",239,"V",263,"V",262,"V",291,"V",249,"V",254,"V",270,"V",277,"V",277,"V",293,"V",274,"V",253,"V",260,"V",283,"V",254,"V",282,"V",275,"V",254,"V",239,"V",284,"V",296,"V",0,"N"
28,79,103,83,"28079103_83_98",2024,2,26,8,"V",7.9,"V",7.8,"V",7.2,"V",7.1,"V",6.5,"V",6.2,"V",5.4,"V",4.7,"V",6.2,"V",6.9,"V",7.6,"V",8.2,"V",8.5,"V",8.9,"V",7.2,"V",5.8,"V",5.9,"V",5.7,"V",5.7,"V",5.5,"V",4.8,"V",4.6,"V",0,"N"
